"5,5,4,4,5","1,2,4,3,5","34746,22619,19535,21958,16037","21.777,19.852,16.534,19.438,11.727","11320,7291,6274,6672,5526","8.852,5.124,4.057,3.597,2.419",A1AXD2Q0MREL8W,Laptop,undefined,undefined,"The speed and information of loading the webpage matters most to me. The experiment guidelines were simple and easy to understand. No, i was not confused about grading process.",Chrome,50.026,0,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0","0,0,0,0,0","0,0,0,-1,0",",,,,",1,1625229551377
"1,1,2,2,5","3,4,1,2,5","13670,13751,17684,15461,10827","13.28,13.395,13.992,15.055,10.457","1610,1899,6419,3611,2757","1.274,1.567,6.066,3.248,2.372",AKX5RHHO8BIUX,Desktop,undefined,undefined,I want everything to load more or less at once. I find it really annoying when there are blank spaces or elements that load out of sequence. ,Chrome,21.299,0,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0","0,0,0,0,0","-1,0,0,0,0",",,,,",1,1625189711242
"4,4,5,5,1","4,3,2,1,5","1245,1313,1137,14432,750","1.122,1.187,1.015,14.15,0.634","945,1217,1436,12521,1199","0.83,1.102,1.301,10.243,1.08",123,Desktop,undefined,undefined,123,Chrome,24.403,0,"0,0,0,1,0","0,0,0,1,0","0,0,0,0,0","0,0,0,0,0","0,-1,0,1,0",",,,,",0,1625252598625
"1,3,1,1,5","4,3,1,2,5","15189,13726,15243,18494,13227","13.441,12.031,13.53,16.732,8.956","4027,4620,3064,14980,3363","2.508,1.873,1.571,13.289,1.884",A1AYL5V5GI9HC1,Desktop,undefined,undefined,Image loading,Chrome,26.57,0,"1,1,1,1,1","1,0,1,1,0","0,0,0,0,0","0,0,0,0,0","-1,0,0,0,0",",,,,",1,1625199540695
"3,4,4,4,5","4,3,2,1,5","15904,19547,16024,27946,17058","11.983,17.889,12.216,23.318,15.021","4867,3727,4027,5082,6822","3.427,2.333,2.65,3.392,3.266",AZS1ZZRYENXVK,Desktop,undefined,undefined,The loading time varying in every video.,Chrome,7.35,0,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0","0,0,0,0,0","0,-1,0,0,0",",,,,",0,1625184949072
"2,2,2,2,5","1,2,4,3,5","14620,13373,16835,14381,9816","13.21,11.98,12.258,12.972,7.75","4075,4156,3720,5209,3287","2.842,2.481,1.56,1.714,1.467",A2QD9PJUKW7PKK,Desktop,undefined,undefined,experiment guideline was clear and i had rated based on the website page load,Chrome,4.591,0,"1,1,1,1,1","1,1,1,1,0","0,0,0,0,0","0,0,0,0,0","0,0,0,-1,0",",,,,",1,1625200077038
"2,2,2,1,5","4,3,2,1,5","15453,12494,15366,12386,10005","15.014,12.073,14.954,11.943,9.575","1673,2382,2519,5068,2598","1.292,1.996,2.12,4.669,2.191",A1YSYI926BBOHW,Desktop,undefined,undefined,most how long it took but also how much appeared right away.,Chrome,8.765,0,"1,1,1,1,1","1,1,1,0,1","0,0,0,0,0","0,0,0,0,0","0,-1,0,0,0",",,,,",1,1625184217777
"4,4,4,4,4","3,4,1,2,5","12245,14330,27825,27561,39912","10.571,12.644,26.402,25.896,38.506","7218,7821,6801,4243,5042","5.039,6.181,4.866,2.808,3.613",A3IL3HGJW7K6Q1,Laptop,undefined,undefined,that was very clear,Chrome,16.388,0,"1,1,1,1,1","0,0,1,0,1","0,0,0,0,0","0,0,0,0,0","-1,0,0,0,0",",,,,",1,1625183861399
"4,4,4,3,5","4,3,2,1,5","16635,16972,18679,24464,14409","14.437,14.761,15.49,19.533,12.283","4343,6589,5696,12254,5727","2.47,3.815,2.695,8.995,3.792",A1IU5OP7BBZHZ7,Desktop,undefined,undefined,pages opening part by part is like waiting more time,Chrome,11.081,0,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0","0,0,0,0,0","0,-1,0,0,0",",,,,",1,1625193252089
"4,5,5,4,5","2,1,3,4,5","17126,17546,17503,23102,12842","15.262,15.191,15.674,21.453,11.074","4057,5605,3840,4047,6282","2.388,3.868,2.059,2.344,4.458",A3TUMZ954ORSUC,Laptop,undefined,undefined,good,Chrome,16.927,0,"1,1,1,3,1","1,1,1,2,1","0,0,0,0,0","0,0,0,0,0","0,0,-1,0,0",",,,,",1,1625187362807
